approxkl,clipfrac,eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,policy_loss,serial_timesteps,time_elapsed,total_timesteps,value_loss
1.4827302,0.9855282,369.5744680851064,319.1545958723404,0.0,171,1,1.7211115,0.12890033,2048,561.7584056854248,96256,0.067271985
0.22738767,0.8664317,626.0,1053.0105479899998,0.0,170,2,1.5574919,0.059075877,4096,1125.8632442951202,192512,0.21208046
0.16365388,0.8116897,1596.74,1608.0469987800002,0.0,182,3,1.5141188,0.04033782,6144,1654.4147770404816,288768,0.20903984
0.10920737,0.78637177,887.22,1352.25270862,0.0,182,4,1.5484018,0.025923142,8192,2183.098998069763,385024,0.12343695
0.20787056,0.79104936,1568.6,1722.6711750699997,0.0,181,5,1.533276,0.039568365,10240,2712.4005920886993,481280,0.17457318
0.10164751,0.7468885,903.58,1490.7739896300002,0.0,182,6,1.5488992,0.021024195,12288,3241.0182359218597,577536,0.13504007
0.086481124,0.7285338,1372.99,1541.8383724000003,0.0,181,7,1.5555024,0.024780324,14336,3771.870671272278,673792,0.21062279
0.07589013,0.7441614,991.19,1556.0039710100004,0.0,180,8,1.5687449,0.022777889,16384,4304.908122301102,770048,0.17226887
0.090024464,0.75878125,1257.36,1563.27391636,0.0,179,9,1.6051079,0.023663465,18432,4839.77615904808,866304,0.17948286
0.0808004,0.7268897,1519.14,1786.3796820200005,0.0,179,10,1.6025643,0.022927431,20480,5374.987971544266,962560,0.16643225
0.06573752,0.691879,1401.39,1663.6473308400004,0.0,181,11,1.6023762,0.017382894,22528,5906.468821287155,1058816,0.12750658
0.10601143,0.7282403,1341.2,1411.0714184100004,0.0,180,12,1.6121538,0.018987209,24576,6440.2641954422,1155072,0.15336403
0.11798315,0.6970007,986.68,1325.00467109,0.0,180,13,1.6173465,0.020294592,26624,6973.09152507782,1251328,0.16511041
0.049288325,0.6753683,1311.05,1570.7712407800002,0.0,181,14,1.6254685,0.015415433,28672,7503.682586431503,1347584,0.20444404
0.040658575,0.6972864,1165.98,1347.3786446699999,0.0,180,15,1.6485813,0.013339671,30720,8037.634002447128,1443840,0.13252874
0.07766213,0.70756626,1321.09,1414.8602922099997,0.0,180,16,1.6625245,0.016593415,32768,8572.36155629158,1540096,0.1262164
0.043934207,0.7098726,1845.76,1825.5993736399998,0.0,181,17,1.6538342,0.014032086,34816,9104.093839645386,1636352,0.15044744
0.054075975,0.6925127,1760.95,1665.4222284500001,0.0,180,18,1.6455313,0.014714265,36864,9638.547904968262,1732608,0.1108999
0.05054369,0.64255995,1648.3,1541.7265652499998,0.0,179,19,1.6406254,0.012244089,38912,10175.266056776047,1828864,0.13629812
0.057227544,0.6614237,1262.06,1409.1019134299997,0.0,179,20,1.6443956,0.012969022,40960,10710.373509168625,1925120,0.16143624
0.0368837,0.64394945,1425.81,1397.72418174,0.0,179,21,1.6440923,0.010449472,43008,11245.850374221802,2021376,0.11225672
0.05514609,0.668109,1447.01,1522.7769128,0.0,180,22,1.6385721,0.013463669,45056,11779.362975358963,2117632,0.12981266
0.03574641,0.6719659,1395.13,1443.6818617000004,0.0,179,23,1.6413026,0.012605568,47104,12315.775567770004,2213888,0.13740239
0.039658714,0.6318905,1235.37,1577.2410974499999,0.0,180,24,1.64037,0.010050678,49152,12849.238156080246,2310144,0.17468846
0.03831468,0.6501725,1441.94,1465.9226493999997,0.0,180,25,1.6420751,0.011241331,51200,13383.55240225792,2406400,0.12709247
0.026855854,0.63520455,1269.39,1537.0989092999998,0.0,180,26,1.6454875,0.009010116,53248,13918.533942461014,2502656,0.52921987
0.039711263,0.62493247,1363.88,1482.16906054,0.0,181,27,1.6502085,0.009885302,55296,14450.033511638641,2598912,0.12971596
0.035474584,0.6380771,1324.95,1452.6033404800003,0.0,180,28,1.6466243,0.010965616,57344,14983.761722803116,2695168,0.11317553
0.032024834,0.61782384,1265.05,1500.4614202999999,0.0,181,29,1.6483388,0.009887829,59392,15514.258231163025,2791424,0.16468453
0.042702086,0.5962979,1049.12,1136.1028536699998,0.0,181,30,1.648149,0.012377461,61440,16045.31164598465,2887680,0.10796777
0.025327375,0.61142164,1546.36,1637.0068522400002,0.0,181,31,1.6481448,0.00875619,63488,16575.742521762848,2983936,0.1961505
0.036160182,0.622904,1474.48,1688.2256613099996,0.0,180,32,1.649024,0.0116935875,65536,17107.84623146057,3080192,0.13668256
0.048566915,0.6343942,1714.73,1793.3882975999995,0.0,179,33,1.6494539,0.012914791,67584,17643.735575914383,3176448,0.17791894
0.027357545,0.64009774,1518.79,1622.9271765899996,0.0,181,34,1.6538224,0.00859972,69632,18174.872314929962,3272704,0.14930482
0.037132945,0.6415522,1273.37,1433.2647944999999,0.0,181,35,1.653809,0.012256524,71680,18704.68547129631,3368960,0.13748418
0.030170398,0.63969517,1107.02,1422.6603470700002,0.0,182,36,1.652079,0.010600457,73728,19233.15379714966,3465216,0.18888253
0.02956203,0.5879192,1087.67,1437.9511681599997,0.0,180,37,1.652157,0.009069277,75776,19765.720560073853,3561472,0.1516601
0.03667517,0.61693555,1287.99,1382.6505434699998,0.0,179,38,1.6573914,0.012367414,77824,20301.692465782166,3657728,0.51883227
0.03915598,0.6095049,1246.78,1536.45942713,0.0,180,39,1.6531526,0.010826862,79872,20835.41199040413,3753984,0.14871962
0.033373386,0.6282128,1536.49,1690.7833807599998,0.0,179,40,1.6506662,0.011095225,81920,21370.478370189667,3850240,0.15228696
0.033881694,0.64564025,1138.51,1487.8831216899998,0.0,180,41,1.6549629,0.009927957,83968,21902.885961532593,3946496,0.14683047
0.045327406,0.6200003,1241.16,1273.0346315800002,0.0,181,42,1.6611723,0.012183844,86016,22434.6650056839,4042752,0.13487084
0.03475193,0.6170446,1159.74,1286.9006477,0.0,180,43,1.6723832,0.012133715,88064,22967.047030210495,4139008,0.1292821
0.03135971,0.62376374,1398.03,1363.3841263399997,0.0,182,44,1.6714396,0.011366498,90112,23494.004710674286,4235264,0.12618333
0.028859517,0.6083387,1221.21,1400.8730800300002,0.0,179,45,1.6706048,0.011143871,92160,24030.114597797394,4331520,0.15100668
0.0274071,0.6190082,1017.36,1370.9669811100002,0.0,179,46,1.6700785,0.00935007,94208,24566.22128200531,4427776,0.16386935
0.041495025,0.61364484,1249.75,1454.5412115200002,0.0,180,47,1.6682668,0.01034879,96256,25098.938505887985,4524032,0.15047732
0.033051684,0.64277035,1220.31,1606.58286776,0.0,180,48,1.6692554,0.011914484,98304,25632.997928619385,4620288,0.14309154
0.030864872,0.65054125,1305.04,1379.27476598,0.0,180,49,1.6680764,0.011146111,100352,26167.1551964283,4716544,0.14016257
0.039901055,0.64585584,1510.55,1593.7224802499998,0.0,180,50,1.6716983,0.009644683,102400,26699.71301317215,4812800,0.14455485
0.037274107,0.5957161,1212.34,1280.15141771,0.0,180,51,1.6705967,0.0126872035,104448,27234.063618421555,4909056,0.5029101
0.029607205,0.62155086,1079.18,1174.47111877,0.0,180,52,1.6728457,0.009100333,106496,27768.762069940567,5005312,0.08883564
0.0335905,0.61445004,1485.31,1352.2606527900002,0.0,179,53,1.670964,0.0108254645,108544,28304.127310991287,5101568,0.15491375
0.028051278,0.6196159,1418.97,1409.27221752,0.0,179,54,1.6701567,0.010342869,110592,28841.836864709854,5197824,0.11272123
0.029408412,0.64168465,1371.76,1549.4775656100005,0.0,180,55,1.6699641,0.009571173,112640,29376.563492059708,5294080,0.1513365
0.029480347,0.6188757,939.8,1195.4449649000003,0.0,179,56,1.6726186,0.010168967,114688,29913.975148916245,5390336,0.14211315
0.031340323,0.62089896,911.63,1387.9408441799999,0.0,179,57,1.6825778,0.0111675095,116736,30451.164565563202,5486592,0.17331718
0.038855024,0.61025286,1224.13,1477.70430657,0.0,179,58,1.6799439,0.009783277,118784,30987.366929769516,5582848,0.5374216
0.029728863,0.6144552,1006.14,1390.30157661,0.0,180,59,1.67978,0.011042377,120832,31520.935969352722,5679104,0.1574176
0.02772252,0.5715358,1263.14,1437.0168262799998,0.0,180,60,1.678823,0.010272523,122880,32052.97729730606,5775360,0.12549087
0.031233234,0.5540356,1056.3,1465.7300201099997,0.0,181,61,1.6798414,0.010402705,124928,32583.447075366974,5871616,0.1623377
0.037679102,0.61929643,1423.97,1545.4743391000002,0.0,180,62,1.6868287,0.012609926,126976,33117.053878068924,5967872,0.13015513
0.031610332,0.61592007,1033.36,1222.36564748,0.0,177,63,1.6902596,0.011393056,129024,33659.94047880173,6064128,0.15891731
0.029743867,0.5572068,1149.45,1529.53266462,0.0,169,64,1.6890686,0.010627255,131072,34229.22569012642,6160384,0.20196232
0.027766619,0.5695515,812.91,1262.67371994,0.0,169,65,1.6905016,0.010725531,133120,34795.55173397064,6256640,0.1537648
0.026915222,0.51584315,1298.59,1428.65702839,0.0,168,66,1.6886252,0.009000725,135168,35366.35140419006,6352896,0.17369835
0.030014755,0.58408564,1099.82,1393.67061206,0.0,169,67,1.6895115,0.010943225,137216,35933.2774617672,6449152,0.14790824
